keys,en,it,de,fr
Transcendent Balance,Transcendent Balance,Equilibrio trascendente,Transzendentes Gleichgewicht,Équilibre transcendant
"Equalizes the party's Health, heals the whole party for 38% Attack, and grants every ally +15 Immunity for 3 turns.","Equalizes the party's Health, heals the whole party for 38% Attack, and grants every ally +15 Immunity for 3 turns.","Equalizza la salute del gruppo, cura l'intero gruppo per il 38% dell'Attacco e concede a ogni alleato +15 Immunità per 3 turni.","Gleicht das Leben der Gruppe an, heilt die gesamte Gruppe um 38% Angriff und gewährt jedem Verbündeten +15 Immunität für 3 Züge.","Égalise la Vie du groupe, soigne tout le groupe de 38% Attaque et accorde à chaque allié +15 Immunité pendant 3 tours."
Inner Peace,Inner Peace,Pace interiore,Innerer Frieden,Paix intérieure
"Always +40 Healing; the whole party gains +2% Damage and +12 Immunity. Gaining mana heals the weakest ally 2.5%; overflow past 100 mana heals every ally 9%. After every action, Balanced Restoration heals 3 wounded allies.","Always +40 Healing; the whole party gains +2% Damage and +12 Immunity. Gaining mana heals the weakest ally 2.5%; overflow past 100 mana heals every ally 9%. After every action, Balanced Restoration heals 3 wounded allies.","Sempre +40 Cure; l'intero gruppo ottiene +2% Danni e +12 Immunità. Ottenere mana cura l'alleato più debole per il 2,5% dei PV massimi; oltre 100 mana cura ogni alleato del 9%. Dopo ogni azione, Ristoro equilibrato cura 3 alleati feriti.","Immer +40 Heilung; die gesamte Gruppe erhält +2% Schaden und +12 Immunität. Mana-Gewinn heilt den schwächsten Verbündeten um 2,5% der maximalen LP, Überlauf über 100 Mana jeden Verbündeten um 9%. Nach jeder Aktion heilt Ausgewogene Wiederherstellung 3 Verbündete.","Toujours +40 Soins ; tout le groupe gagne +2% Dégâts et +12 Immunité. Gagner du mana soigne l'allié le plus faible de 2,5% des PV max, dépasser 100 mana soigne chaque allié de 9%. Après chaque action, Restauration équilibrée soigne 3 alliés blessés."
Druid,Druid,Druido,Druide,Druide
"A nature-bound hero who builds harmony by cycling abilities and uses it to transform creatures, terrain, and weather.","A nature-bound hero who builds harmony by cycling abilities and uses it to transform creatures, terrain, and weather.","Un eroe legato alla natura che accumula armonia alternando le abilità e la usa per trasformare creature, terreno e clima.","Ein naturverbundener Held, der durch den Wechsel seiner Fähigkeiten Harmonie aufbaut und damit Kreaturen, Gelände und Wetter verwandelt.","Un héros lié à la nature qui bâtit l'harmonie en alternant ses compétences et s'en sert pour transformer créatures, terrain et climat."
Nature's Cycle,Nature's Cycle,Ciclo della natura,Kreislauf der Natur,Cycle de la nature
"If an ally is below 70% Health, heals the whole party and applies Regeneration (25% Attack per turn); otherwise damages every enemy with 25% Attack DoT. Either lasts 2 turns.","If an ally is below 70% Health, heals the whole party and applies Regeneration (25% Attack per turn); otherwise damages every enemy with 25% Attack DoT. Either lasts 2 turns.","Se un alleato è sotto il 70% di salute, cura l'intero gruppo e applica Rigenerazione (25% dell'Attacco a turno); altrimenti danneggia tutti i nemici con il 25% dell'Attacco come DoT. In entrambi i casi dura 2 turni.","Ist ein Verbündeter unter 70% Leben, heilt es die gesamte Gruppe und wendet Regeneration (25% Angriff pro Zug) an; andernfalls schädigt es jeden Gegner mit 25% Angriff als DoT. Beides hält 2 Züge an.","Si un allié est sous 70% de Vie, soigne tout le groupe et applique une Régénération (25% Attaque par tour) ; sinon inflige à chaque ennemi 25% Attaque en DoT. Dans les deux cas, cela dure 2 tours."
Growing Harmony,Growing Harmony,Armonia crescente,Wachsende Harmonie,Harmonie croissante
"Always +40 Healing and +4% Damage; Regeneration effects are 6% stronger and the Druid recovers 3% of maximum Health each turn. After every action, Renewing Seed heals 1 wounded ally, half of it as a 2-turn Regeneration.","Always +40 Healing and +4% Damage; Regeneration effects are 6% stronger and the Druid recovers 3% of maximum Health each turn. After every action, Renewing Seed heals 1 wounded ally, half of it as a 2-turn Regeneration.","Sempre +40 Cure e +4% Danni; gli effetti di Rigenerazione sono +6% più potenti e il Druido recupera il 3% dei PV massimi ogni turno. Dopo ogni azione, Seme rinnovatore cura 1 alleato ferito, metà come Rigenerazione di 2 turni.","Immer +40 Heilung und +4% Schaden; Regenerationseffekte sind 6% stärker und der Druide stellt jeden Zug 3% der maximalen LP wieder her. Nach jeder Aktion heilt Erneuernder Samen 1 verwundeten Verbündeten, die Hälfte davon als Regeneration über 2 Züge.","Toujours +40 Soins et +4% Dégâts ; les effets de Régénération sont 6% plus puissants et le Druide récupère 3% des PV max à chaque tour. Après chaque action, Graine de renouveau soigne 1 allié blessé, moitié en Régénération de 2 tours."
Shapeshifter,Shapeshifter,Mutaforma,Gestaltwandler,Métamorphe
"An adaptable combatant who assumes animal forms suited to defense, mobility, or close-range damage.","An adaptable combatant who assumes animal forms suited to defense, mobility, or close-range damage.","Un combattente adattabile che assume forme animali adatte alla difesa, alla mobilità o ai danni a distanza ravvicinata.","Ein anpassungsfähiger Kämpfer, der Tiergestalten annimmt, die sich für Verteidigung, Beweglichkeit oder Nahkampfschaden eignen.","Un combattant adaptable qui prend des formes animales adaptées à la défense, à la mobilité ou aux dégâts à courte portée."
Predator Form,Predator Form,Forma predatoria,Raubtiergestalt,Forme de prédateur
"Grants the Shapeshifter +37 Defense, +37 Magic Defense, +10% Damage, and 16% Attack Regeneration for 3 turns.","Grants the Shapeshifter +37 Defense, +37 Magic Defense, +10% Damage, and 16% Attack Regeneration for 3 turns.","Concede al Mutaforma +37 Difesa, +37 Difesa magica, +10% Danni e Rigenerazione pari al 16% dell'Attacco per 3 turni.","Gewährt dem Gestaltwandler +37 Verteidigung, +37 Magieverteidigung, +10% Schaden und 16% Angriff als Regeneration für 3 Züge.","Accorde au Métamorphe +37 Défense, +37 Défense magique, +10% Dégâts et une Régénération de 16% Attaque pendant 3 tours."
Adaptive Hide,Adaptive Hide,Pelle adattiva,Anpassende Haut,Peau adaptative
"Always +10 Defense and +8 Magic Defense; each active skill cast adds +12% Damage (Momentum, stacks up to +24%) for the rest of the battle.","Always +10 Defense and +8 Magic Defense; each active skill cast adds +12% Damage (Momentum, stacks up to +24%) for the rest of the battle.","Sempre +10 Difesa e +8 Difesa magica; ogni lancio dell'abilità attiva aggiunge +12% Danni (Slancio, fino a un massimo di +24%) per il resto della battaglia.","Immer +10 Verteidigung und +8 Magieverteidigung; jeder Einsatz der aktiven Fähigkeit fügt +12% Schaden hinzu (Schwung, stapelt bis +24%) für den Rest des Kampfes.","Toujours +10 Défense et +8 Défense magique ; chaque lancement de la compétence active ajoute +12% Dégâts (Élan, cumulable jusqu'à +24%) pour le reste du combat."
Primal Avatar,Primal Avatar,Avatar primordiale,Urtümlicher Avatar,Avatar primordial
An embodiment of the wild who combines traits from multiple beasts and transforms without sacrificing momentum.,An embodiment of the wild who combines traits from multiple beasts and transforms without sacrificing momentum.,Un'incarnazione della natura selvaggia che combina i tratti di più bestie e si trasforma senza perdere slancio.,"Eine Verkörperung der Wildnis, die Merkmale mehrerer Bestien vereint und sich verwandelt, ohne Schwung einzubüßen.",Une incarnation de la nature sauvage qui combine les traits de plusieurs bêtes et se transforme sans perdre son Élan.
Chimera Ascension,Chimera Ascension,Ascensione della chimera,Chimären-Aufstieg,Ascension de la chimère
"Mauls every enemy, shields the party for 30% and the Primal Avatar for 45% max Health until broken, and grants +22% Damage, +20 Defense, and +20 Magic Defense for 4 turns.","Mauls every enemy, shields the party for 30% and the Primal Avatar for 45% max Health until broken, and grants +22% Damage, +20 Defense, and +20 Magic Defense for 4 turns.","Dilania tutti i nemici, protegge il gruppo con una barriera pari al 30% e l'Avatar primordiale con una pari al 45% della salute massima finché non vengono infrante e concede +22% Danni, +20 Difesa e +20 Difesa magica per 4 turni.","Zerfleischt jeden Gegner, schützt die Gruppe mit 30% und den Urtümlichen Avatar mit 45% des maximalen Lebens, bis die Barrieren brechen, und gewährt +22% Schaden, +20 Verteidigung und +20 Magieverteidigung für 4 Züge.","Lacère chaque ennemi, protège le groupe de 30% et l'Avatar primordial de 45% de la Vie max jusqu'à ce que les barrières soient brisées, et accorde +22% Dégâts, +20 Défense et +20 Défense magique pendant 4 tours."
Apex Instinct,Apex Instinct,Istinto apicale,Gipfelinstinkt,Instinct suprême
"Always +10 Threat, +30 Defense, +30 Magic Defense, and +25 Immunity; regenerates 5% of maximum Health each turn.","Always +10 Threat, +30 Defense, +30 Magic Defense, and +25 Immunity; regenerates 5% of maximum Health each turn.","Sempre +10 Minaccia, +30 Difesa, +30 Difesa magica e +25 Immunità; rigenera il 5% dei PV massimi ogni turno.","Immer +10 Bedrohung, +30 Verteidigung, +30 Magieverteidigung und +25 Immunität; regeneriert 5% der maximalen LP pro Zug.","Toujours +10 Menace, +30 Défense, +30 Défense magique et +25 Immunité ; régénère 5% des PV max par tour."
Grove Keeper,Grove Keeper,Custode del boschetto,Hainhüter,Gardien du bosquet
"A nature caster who grows healing plants, restrains enemies with roots, and creates favorable terrain.","A nature caster who grows healing plants, restrains enemies with roots, and creates favorable terrain.","Un incantatore della natura che coltiva piante curative, immobilizza i nemici con le radici e crea terreni favorevoli.","Ein Naturzauberer, der heilende Pflanzen wachsen lässt, Gegner mit Wurzeln fesselt und günstiges Gelände schafft.","Un lanceur de sorts de la nature qui fait pousser des plantes curatives, entrave les ennemis avec des racines et crée un terrain favorable."
Verdant Sanctuary,Verdant Sanctuary,Santuario verdeggiante,Grünendes Refugium,Sanctuaire verdoyant
"Heals the whole party, applies Regeneration (45% Attack per turn), and weakens every enemy by -18% Attack, all for 4 turns.","Heals the whole party, applies Regeneration (45% Attack per turn), and weakens every enemy by -18% Attack, all for 4 turns.","Cura l'intero gruppo, applica Rigenerazione (45% dell'Attacco a turno) e indebolisce tutti i nemici di -18% Attacco, il tutto per 4 turni.","Heilt die gesamte Gruppe, wendet Regeneration (45% Angriff pro Zug) an und schwächt jeden Gegner um -18% Angriff, alles für 4 Züge.","Soigne tout le groupe, applique une Régénération (45% Attaque par tour) et affaiblit chaque ennemi de -18% Attaque, le tout pendant 4 tours."
Rooted Renewal,Rooted Renewal,Rinnovamento radicato,Verwurzelte Erneuerung,Renouveau enraciné
"Always +50 Immunity; Regeneration effects are 8% stronger and the Grove Keeper recovers 5% of maximum Health each turn. After every action, Verdant Regrowth splits a heal between 2 wounded allies.","Always +50 Immunity; Regeneration effects are 8% stronger and the Grove Keeper recovers 5% of maximum Health each turn. After every action, Verdant Regrowth splits a heal between 2 wounded allies.","Sempre +50 Immunità; gli effetti di Rigenerazione sono +8% più potenti e il Custode del boschetto recupera il 5% dei PV massimi ogni turno. Dopo ogni azione, Ricrescita verdeggiante divide una cura tra 2 alleati feriti.",Immer +50 Immunität; Regenerationseffekte sind 8% stärker und der Hainhüter stellt jeden Zug 5% der maximalen LP wieder her. Nach jeder Aktion verteilt Grünender Neuwuchs eine Heilung auf 2 verwundete Verbündete.,"Toujours +50 Immunité ; les effets de Régénération sont 8% plus puissants et le Gardien du bosquet récupère 5% des PV max à chaque tour. Après chaque action, Repousse verdoyante répartit un soin entre 2 alliés blessés."
Archdruid,Archdruid,Arcidruido,Erzdruide,Archidruide
"A supreme keeper of nature who commands forests and storms, causing the battlefield itself to aid the party.","A supreme keeper of nature who commands forests and storms, causing the battlefield itself to aid the party.","Un supremo custode della natura che comanda foreste e tempeste, facendo sì che il campo di battaglia stesso aiuti il gruppo.","Ein oberster Hüter der Natur, der Wälder und Stürme befehligt, sodass das Schlachtfeld selbst der Gruppe beisteht.","Un gardien suprême de la nature qui commande forêts et tempêtes, faisant en sorte que le champ de bataille lui-même aide le groupe."
Verdant Tempest,Verdant Tempest,Tempesta verdeggiante,Grünender Sturm,Tempête verdoyante
"Calls a storm that damages every enemy and heals the whole party, then applies 30% Attack DoT to enemies and Regeneration (30% Attack per turn) to allies for 3 turns.","Calls a storm that damages every enemy and heals the whole party, then applies 30% Attack DoT to enemies and Regeneration (30% Attack per turn) to allies for 3 turns.","Invoca una tempesta che danneggia tutti i nemici e cura l'intero gruppo, poi applica il 30% dell'Attacco come DoT ai nemici e Rigenerazione (30% dell'Attacco a turno) agli alleati per 3 turni.","Ruft einen Sturm, der jeden Gegner verletzt und die gesamte Gruppe heilt, und wendet dann 3 Züge lang 30% Angriff als DoT auf Gegner und Regeneration (30% Angriff pro Zug) auf Verbündete an.","Invoque une tempête qui blesse chaque ennemi et soigne tout le groupe, puis applique 30% Attaque en DoT aux ennemis et une Régénération (30% Attaque par tour) aux alliés pendant 3 tours."
Worldroot Communion,Worldroot Communion,Comunione con la Radice del Mondo,Weltwurzel-Kommunion,Communion de la Racine du Monde
"Always +8% Damage; Regeneration effects are 6% stronger and the whole party regenerates 3% of maximum Health each turn. After every action, Restorative Rain heals 3 wounded allies, half as 2-turn Regeneration, doubled below 35% Health.","Always +8% Damage; Regeneration effects are 6% stronger and the whole party regenerates 3% of maximum Health each turn. After every action, Restorative Rain heals 3 wounded allies, half as 2-turn Regeneration, doubled below 35% Health.","Sempre +8% Danni; gli effetti di Rigenerazione sono +6% più potenti e l'intero gruppo rigenera il 3% dei PV massimi ogni turno. Dopo ogni azione, Pioggia ristoratrice cura 3 alleati feriti, metà come Rigenerazione di 2 turni, raddoppiata sotto il 35% di Salute.","Immer +8% Schaden; Regenerationseffekte sind 6% stärker und die gesamte Gruppe regeneriert 3% der maximalen LP pro Zug. Nach jeder Aktion heilt Heilender Regen 3 verwundete Verbündete, halb davon als Regeneration über 2 Züge, verdoppelt unter 35% Leben.","Toujours +8% Dégâts ; les effets de Régénération sont 6% plus puissants et tout le groupe régénère 3% des PV max par tour. Après chaque action, Pluie réparatrice soigne 3 alliés blessés, moitié en Régénération de 2 tours, doublé sous 35% de Vie."
Warlock,Warlock,Occultista,Hexenmeister,Occultiste
A forbidden caster who accumulates corruption to fuel unusually powerful curses and summons at personal risk.,A forbidden caster who accumulates corruption to fuel unusually powerful curses and summons at personal risk.,"Un incantatore proibito che accumula corruzione per alimentare maledizioni ed evocazioni insolitamente potenti, mettendo a rischio se stesso.","Ein verbotener Zauberer, der Verderbnis anhäuft, um ungewöhnlich mächtige Flüche und Beschwörungen zu befeuern, auf eigene Gefahr.","Un lanceur de sorts interdit qui accumule la corruption pour alimenter des malédictions et des invocations d'une puissance inhabituelle, à ses propres risques."
Corrupting Bolt,Corrupting Bolt,Dardo corruttore,Verderbnisblitz,Trait corrupteur
"Costs 8% max HP to blast the strongest enemy with 45% Attack DoT, then grants the Warlock +20% Damage, both for 3 turns.","Costs 8% max HP to blast the strongest enemy with 45% Attack DoT, then grants the Warlock +20% Damage, both for 3 turns.","Costa l'8% dei PV massimi per colpire il nemico più forte con il 45% dell'Attacco come DoT, poi concede all'Occultista +20% Danni, entrambi per 3 turni.","Kostet 8% der maximalen LP, um den stärksten Gegner mit 45% Angriff als DoT zu treffen, und gewährt dem Hexenmeister dann +20% Schaden, beides für 3 Züge.","Coûte 8% des PV max pour frapper l'ennemi le plus fort avec 45% Attaque en DoT, puis accorde à l'Occultiste +20% Dégâts, les deux pendant 3 tours."
Forbidden Bargain,Forbidden Bargain,Patto proibito,Verbotener Pakt,Pacte interdit
Always +26% Damage and +10 Lifesteal; suffers 2 Decay damage after every action.,Always +26% Damage and +10 Lifesteal; suffers 2 Decay damage after every action.,Sempre +26% Danni e +10 Rubavita; subisce 2 danni da Decadimento dopo ogni azione.,Immer +26% Schaden und +10 Lebensraub; erleidet nach jeder Aktion 2 Zerfallsschaden.,Toujours +26% Dégâts et +10 Vol de vie ; subit 2 dégâts de Déclin après chaque action.
Hexbinder,Hexbinder,Vincolatore di maledizioni,Fluchbinder,Lieur de sorts
A curse specialist who weakens enemies and places delayed hexes that trigger when specific conditions are met.,A curse specialist who weakens enemies and places delayed hexes that trigger when specific conditions are met.,Uno specialista delle maledizioni che indebolisce i nemici e applica sortilegi ritardati che si attivano al verificarsi di condizioni specifiche.,"Ein Fluchspezialist, der Gegner schwächt und verzögerte Hexereien legt, die bei bestimmten Bedingungen auslösen.",Un spécialiste des malédictions qui affaiblit les ennemis et pose des sorts différés qui se déclenchent lorsque certaines conditions sont réunies.
Doom Sigil,Doom Sigil,Sigillo della rovina,Verhängnissiegel,Sceau funeste
"Strikes the strongest enemy with a hex for 70% Attack DoT and 15% Vulnerability, both for 4 turns.","Strikes the strongest enemy with a hex for 70% Attack DoT and 15% Vulnerability, both for 4 turns.","Colpisce il nemico più forte con una maledizione: il 70% dell'Attacco come DoT e il 15% di Vulnerabilità, entrambi per 4 turni.","Trifft den stärksten Gegner mit einem Fluch: 70% Angriff als DoT und 15% Verwundbarkeit, beides für 4 Züge.","Frappe l'ennemi le plus fort d'un maléfice : 70% Attaque en DoT et 15% de Vulnérabilité, les deux pendant 4 tours."
Lingering Malice,Lingering Malice,Malizia persistente,Anhaltende Bosheit,Malveillance persistante
+34% Damage against any enemy with a harmful status active; critical hits apply 30% Vulnerability for 3 turns.,+34% Damage against any enemy with a harmful status active; critical hits apply 30% Vulnerability for 3 turns.,+34% Danni contro qualsiasi nemico con uno stato nocivo attivo; i colpi critici applicano il 30% di Vulnerabilità per 3 turni.,+34% Schaden gegen jeden Gegner mit einem aktiven schädlichen Status; kritische Treffer wenden 3 Züge lang 30% Verwundbarkeit an.,+34% Dégâts contre tout ennemi subissant un statut néfaste actif ; les coups critiques appliquent 30% de Vulnérabilité pendant 3 tours.
Doomcaller,Doomcaller,Araldo della rovina,Verhängnisrufer,Invocateur funeste
A master of inevitable ruin whose curses spread between enemies and convert their failures into further calamities.,A master of inevitable ruin whose curses spread between enemies and convert their failures into further calamities.,Un maestro della rovina inevitabile le cui maledizioni si diffondono tra i nemici e trasformano i loro fallimenti in ulteriori calamità.,"Ein Meister des unausweichlichen Untergangs, dessen Flüche sich zwischen Gegnern ausbreiten und ihr Versagen in weitere Katastrophen verwandeln.",Un maître de la ruine inévitable dont les malédictions se propagent entre les ennemis et transforment leurs échecs en nouvelles calamités.
Inevitable Ruin,Inevitable Ruin,Rovina inevitabile,Unausweichlicher Untergang,Ruine inévitable
Curses every enemy with 20% Attack DoT and 10% Vulnerability for 4 turns.,Curses every enemy with 20% Attack DoT and 10% Vulnerability for 4 turns.,Maledice tutti i nemici con il 20% dell'Attacco come DoT e il 10% di Vulnerabilità per 4 turni.,Verflucht jeden Gegner 4 Züge lang mit 20% Angriff als DoT und 10% Verwundbarkeit.,Maudit chaque ennemi avec 20% Attaque en DoT et 10% de Vulnérabilité pendant 4 tours.
Calamity's Echo,Calamity's Echo,Eco della calamità,Echo der Katastrophe,Écho de la calamité
Always +20% Damage; DoT effects are 10% stronger and every DoT tick on an enemy restores 4 mana. Defeating an enemy grants +24% Damage for 3 turns.,Always +20% Damage; DoT effects are 10% stronger and every DoT tick on an enemy restores 4 mana. Defeating an enemy grants +24% Damage for 3 turns.,Sempre +20% Danni; gli effetti DoT sono +10% più potenti e ogni tick di DoT su un nemico ripristina 4 mana. Sconfiggere un nemico concede +24% Danni per 3 turni.,Immer +20% Schaden; DoT-Effekte sind 10% stärker und jeder DoT-Tick an einem Gegner stellt 4 Mana wieder her. Das Besiegen eines Gegners gewährt +24% Schaden für 3 Züge.,Toujours +20% Dégâts ; les effets DoT sont 10% plus puissants et chaque tic de DoT sur un ennemi restaure 4 mana. Vaincre un ennemi accorde +24% Dégâts pendant 3 tours.
Demonologist,Demonologist,Demonologo,Dämonologe,Démonologue
A dangerous summoner who sacrifices health or control to bind powerful infernal creatures.,A dangerous summoner who sacrifices health or control to bind powerful infernal creatures.,Un pericoloso evocatore che sacrifica salute o controllo per vincolare potenti creature infernali.,"Ein gefährlicher Beschwörer, der Leben oder Kontrolle opfert, um mächtige höllische Kreaturen zu binden.",Un invocateur dangereux qui sacrifie sa vie ou son contrôle pour lier de puissantes créatures infernales.
Infernal Summons,Infernal Summons,Evocazione infernale,Höllenbeschwörung,Invocation infernale
"Costs 12% max HP to strike a random enemy 3 times, then shields the Demonologist (15% max HP, until broken).","Costs 12% max HP to strike a random enemy 3 times, then shields the Demonologist (15% max HP, until broken).","Costa il 12% dei PV massimi per colpire un nemico casuale 3 volte, poi protegge il Demonologo con una barriera (15% dei PV massimi, finché non viene infranta).","Kostet 12% der maximalen LP, um einen zufälligen Gegner 3-mal zu treffen, und schützt dann den Dämonologen (15% der maximalen LP, bis sie bricht).","Coûte 12% des PV max pour frapper un ennemi au hasard 3 fois, puis protège le Démonologue (15% des PV max, jusqu'à ce qu'elle soit brisée)."
Blood Contract,Blood Contract,Contratto di sangue,Blutvertrag,Contrat de sang
"Always +20% Damage; DoT effects are 10% stronger. Suffers 2 Decay damage after every action, and survives the first lethal hit of each encounter at 1% of maximum Health.","Always +20% Damage; DoT effects are 10% stronger. Suffers 2 Decay damage after every action, and survives the first lethal hit of each encounter at 1% of maximum Health.",Sempre +20% Danni; gli effetti DoT sono +10% più potenti. Subisce 2 danni da Decadimento dopo ogni azione e sopravvive al primo colpo letale di ogni scontro con l'1% dei PV massimi.,Immer +20% Schaden; DoT-Effekte sind 10% stärker. Erleidet nach jeder Aktion 2 Zerfallsschaden und übersteht den ersten tödlichen Treffer jeder Begegnung mit 1% der maximalen LP.,Toujours +20% Dégâts ; les effets DoT sont 10% plus puissants. Subit 2 dégâts de Déclin après chaque action et survit au premier coup fatal de chaque rencontre avec 1% des PV max.
Infernal Lord,Infernal Lord,Signore infernale,Höllenfürst,Seigneur infernal
"A supreme binder who commands several demons, transfers corruption to them, and unleashes their full forbidden power.","A supreme binder who commands several demons, transfers corruption to them, and unleashes their full forbidden power.","Un supremo vincolatore che comanda diversi demoni, trasferisce loro la corruzione e ne scatena tutto il potere proibito.","Ein oberster Bezwinger, der mehrere Dämonen befehligt, ihnen Verderbnis überträgt und ihre volle verbotene Macht entfesselt.","Un lieur suprême qui commande plusieurs démons, leur transfère la corruption et déchaîne toute leur puissance interdite."
Open the Hellgate,Open the Hellgate,Apri il portale infernale,Öffne das Höllentor,Ouvrir la porte des enfers
"Costs 10% max HP to strike every enemy 3 times, healing for 35% of the damage dealt.","Costs 10% max HP to strike every enemy 3 times, healing for 35% of the damage dealt.","Costa il 10% dei PV massimi per colpire 3 volte tutti i nemici, recuperando salute pari al 35% dei danni inflitti.","Kostet 10% der maximalen LP, um jeden Gegner 3-mal zu treffen, und heilt um 35% des verursachten Schadens.","Coûte 10% des PV max pour frapper chaque ennemi 3 fois, en soignant de 35% des dégâts infligés."
Sovereign of Chains,Sovereign of Chains,Sovrano delle catene,Herrscher der Ketten,Souverain des chaînes
"Always +18% Damage and +40 Immunity, and +40% Damage against any enemy with a harmful status active. Defeating an enemy heals 14% of maximum Health.","Always +18% Damage and +40 Immunity, and +40% Damage against any enemy with a harmful status active. Defeating an enemy heals 14% of maximum Health.","Sempre +18% Danni e +40 Immunità, e +40% Danni contro qualsiasi nemico con uno stato nocivo attivo. Sconfiggere un nemico cura il 14% dei PV massimi.",Immer +18% Schaden und +40 Immunität sowie +40% Schaden gegen jeden Gegner mit einem aktiven schädlichen Status. Das Besiegen eines Gegners heilt 14% der maximalen LP.,"Toujours +18% Dégâts et +40 Immunité, et +40% Dégâts contre tout ennemi subissant un statut néfaste actif. Vaincre un ennemi soigne de 14% des PV max."
Tank,Tank,Difensore,Tank,Tank
Healer,Healer,Guaritore,Heiler,Soigneur
DPS,DPS,DPS,DPS,DPS
Support,Support,Supporto,Unterstützung,Soutien
Draws enemy attacks and shields the party from harm.,Draws enemy attacks and shields the party from harm.,Attira gli attacchi nemici e protegge il gruppo dai danni.,Zieht gegnerische Angriffe auf sich und schützt die Gruppe vor Schaden.,Attire les attaques ennemies et protège le groupe des dégâts.
Restores allies' Health and keeps the party standing.,Restores allies' Health and keeps the party standing.,Ripristina la Salute degli alleati e mantiene il gruppo in piedi.,Stellt das Leben der Verbündeten wieder her und hält die Gruppe auf den Beinen.,Restaure la Vie des alliés et maintient le groupe debout.
Focuses on dealing the party's damage.,Focuses on dealing the party's damage.,Si concentra nell'infliggere i danni del gruppo.,"Konzentriert sich darauf, den Schaden der Gruppe zu verursachen.",Se concentre sur les dégâts du groupe.
Empowers allies and weakens enemies with combat effects.,Empowers allies and weakens enemies with combat effects.,Potenzia gli alleati e indebolisce i nemici con effetti di combattimento.,Stärkt Verbündete und schwächt Gegner mit Kampfeffekten.,Renforce les alliés et affaiblit les ennemis avec des effets de combat.
Bladeguard,Bladeguard,Guardialama,Klingenwache,Garde-lame
Bulwark Engineer,Bulwark Engineer,Ingegnere baluardo,Bollwerk-Ingenieur,Ingénieur de rempart
Lifewright Artificer,Lifewright Artificer,Artefice della vita,Lebens-Artifex,Artificier de la vie
Resonant Monk,Resonant Monk,Monaco risonante,Resonanter Mönch,Moine résonant
Merciful Surge,Merciful Surge,Impeto misericordioso,Gnadenwoge,Vague de miséricorde
Twin Mercy,Twin Mercy,Duplice misericordia,Zwillingsgnade,Double miséricorde
Shared Grace,Shared Grace,Grazia condivisa,Geteilte Gnade,Grâce partagée
Miracle's Wake,Miracle's Wake,Scia del miracolo,Spur des Wunders,Sillage du miracle
Restorative Refrain,Restorative Refrain,Ritornello ristoratore,Heilender Refrain,Refrain réparateur
Threefold Ballad,Threefold Ballad,Ballata triplice,Dreifache Ballade,Ballade triple
Grand Healing Chorus,Grand Healing Chorus,Gran coro curativo,Großer Heilchor,Grand chœur de soins
Repair Sequence,Repair Sequence,Sequenza di riparazione,Reparatursequenz,Séquence de réparation
Spirit Balance,Spirit Balance,Equilibrio spirituale,Geistgleichgewicht,Équilibre spirituel
Balanced Restoration,Balanced Restoration,Ristoro equilibrato,Ausgewogene Wiederherstellung,Restauration équilibrée
Renewing Seed,Renewing Seed,Seme rinnovatore,Erneuernder Samen,Graine de renouveau
Verdant Regrowth,Verdant Regrowth,Ricrescita verdeggiante,Grünender Neuwuchs,Repousse verdoyante
Restorative Rain,Restorative Rain,Pioggia ristoratrice,Heilender Regen,Pluie réparatrice
Ascension,Ascension,Ascensione,Aufstieg,Ascension
Ascendant Path,Ascendant Path,Percorso Ascendente,Aufstiegspfad,Voie ascendante
The Ember Crown,The Ember Crown,La Corona di Braci,Die Glutkrone,La Couronne de braises
"A martial path of decisive blows, critical strikes, and merciless finishes.","A martial path of decisive blows, critical strikes, and merciless finishes.","Un sentiero marziale fatto di colpi decisivi, attacchi critici e finali spietati.","Ein kriegerischer Pfad aus entscheidenden Schlägen, kritischen Treffern und gnadenlosen Todesstößen.","Une voie martiale faite de coups décisifs, de coups critiques et d'achèvements impitoyables."
Ashen Might,Ashen Might,Potere cinereo,Aschene Macht,Puissance de cendre
Gain +1% Strength per rank.,Gain +1% Strength per rank.,Ottieni +1% Forza per grado.,Erhalte +1% Stärke pro Rang.,Gagne +1% Force par rang.
Hunter's Pulse,Hunter's Pulse,Impulso del cacciatore,Puls des Jägers,Pouls du chasseur
Gain +1% Dexterity per rank.,Gain +1% Dexterity per rank.,Ottieni +1% Destrezza per grado.,Erhalte +1% Geschicklichkeit pro Rang.,Gagne +1% Dextérité par rang.
Cinder Insight,Cinder Insight,Intuito di brace,Gluteinsicht,Intuition de braise
Gain +1% Intelligence per rank.,Gain +1% Intelligence per rank.,Ottieni +1% Intelligenza per grado.,Erhalte +1% Intelligenz pro Rang.,Gagne +1% Intelligence par rang.
Scorched Veins,Scorched Veins,Vene arse,Versengte Adern,Veines calcinées
Gain +1% maximum Health per rank.,Gain +1% maximum Health per rank.,Ottieni +1% alla Salute massima per grado.,Erhalte +1% maximales Leben pro Rang.,Gagne +1% de Vie maximale par rang.
Serrated Radiance,Serrated Radiance,Radianza seghettata,Gezackter Glanz,Éclat dentelé
Gain +2% Critical Damage per rank.,Gain +2% Critical Damage per rank.,Ottieni +2% Danno critico per grado.,Erhalte +2% Kritischen Schaden pro Rang.,Gagne +2% Dégâts critiques par rang.
Opening Fury,Opening Fury,Furia d'apertura,Eröffnungswut,Fureur initiale
